filePath,sampleClass,sampleName
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0512.d""",arg4_1D,SZMET0512
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0513.d""",arg4_1D,SZMET0513
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0514.d""",arg4_1D,SZMET0514
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0515.d""",arg4_2A,SZMET0515
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0516.d""",arg4_2A,SZMET0516
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0517.d""",arg4_2A,SZMET0517
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0518.d""",arg4_2B,SZMET0518
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0519.d""",arg4_2B,SZMET0519
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0520.d""",arg4_2B,SZMET0520
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0521.d""",arg4_3A,SZMET0521
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0522.d""",arg4_3A,SZMET0522
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0523.d""",arg4_3A,SZMET0523
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0524.d""",RCY308,SZMET0524
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0525.d""",RCY308,SZMET0525
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0526.d""",RCY308,SZMET0526
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0527.d""",RCY308,SZMET0527
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0528.d""",RCY308,SZMET0528
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0529.d""",RCY308,SZMET0529
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0530.d""",RCY308,SZMET0530
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0531.d""",RCY308,SZMET0531
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0532.d""",RCY308,SZMET0532
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0533.d""",RCY308,SZMET0533
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0534.d""",RCY308,SZMET0534
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0535.d""",RCY308,SZMET0535
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0536.d""",arg4D_screen,SZMET0536
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0537.d""",arg4D_screen,SZMET0537
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0538.d""",arg4D_screen,SZMET0538
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0539.d""",arg4D_screen,SZMET0539
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0540.d""",arg4D_screen,SZMET0540
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0541.d""",arg4D_screen,SZMET0541
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0542.d""",arg4D_screen,SZMET0542
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0543.d""",arg4D_screen,SZMET0543
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0544.d""",arg4D_screen,SZMET0544
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0545.d""",arg4D_screen,SZMET0545
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0546.d""",arg4D_screen,SZMET0546
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0547.d""",arg4D_screen,SZMET0547
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0548.d""",Filter,SZMET0548
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0549.d""",Media_YNB,SZMET0549
"""Z:/MS data/20150826_Soumaya_Fresh_arg4_IPRP/20150826_SZMET0550.d""",Media_YNB_ARG,SZMET0550
