featureName,Formula,Mass,mzCenter,RT(min),rtCenter,featureClass
5_Deoxy_5_methylthioadenosine,C11H15N5O3S,297.0896,296.0823,10.5,630,MET
5_Deoxy_5_methylthioadenosine,[13C]11H15[15N]5O3S,313.1116,312.1044,10.5,630,REF
1_3_Diaminopropane,C3H10N2,74.0844,73.0771,1.43,85.8,MET
1_3_Diaminopropane,[13C]3H10[15N]2,79.0885,78.0813,1.43,85.8,REF
2_2_Dimethylsuccinic_acid,C6H10O4,146.0579,145.0506,12.411,744.66,MET
2_2_Dimethylsuccinic_acid,[13C]6H10O4,152.078,151.0708,12.411,744.66,REF
2_3_Dihydroxybenzoic_acid,C7H6O4,154.0266,153.0193,12.235,734.1,MET
2_3_Dihydroxybenzoic_acid,[13C]7H6O4,161.0501,160.0428,12.235,734.1,REF
2_3_Dihydroxyisovaleric_acid,C5H10O4,134.0579,133.0506,9.503,570.18,MET
2_3_Dihydroxyisovaleric_acid,[13C]5H10O4,139.0747,138.0674,9.503,570.18,REF
2_3_Pyridinedicarboxylic_acid,C7H5NO4,167.0219,166.0146,13.2,792,MET
2_3_Pyridinedicarboxylic_acid,[13C]7H5[15N]O4,175.0424,174.0351,13.2,792,REF
2_4_Quinolinediol_1,C9H7NO2,161.0477,160.0404,12.709,762.54,MET
2_4_Quinolinediol_1,[13C]9H7[15N]O2,171.0749,170.0676,12.709,762.54,REF
2_4_Quinolinediol_2,C9H7NO2,161.0477,160.0404,13.45,807,MET
2_4_Quinolinediol_2,[13C]9H7[15N]O2,171.0749,170.0676,13.45,807,REF
2_Deoxyadenosine,C10H13N5O3,251.1018,250.0946,5.7,342,MET
2_Deoxyadenosine,[13C]10H13[15N]5O3,266.1206,265.1133,5.7,342,REF
2_Deoxycytidine,C9H13N3O4,227.0906,226.0833,1.761,105.66,MET
2_Deoxycytidine,[13C]9H13[15N]3O4,239.1119,238.1046,1.761,105.66,REF
2_Deoxy_D_glucose_6_phosphate,C6H13O8P,244.0348,243.0275,8.418,505.08,MET
2_Deoxy_D_glucose_6_phosphate,[13C]6H13O8P,250.0549,249.0477,8.418,505.08,REF
2_Deoxy_D_ribose,C5H10O4,134.0579,133.0506,1.5,90,MET
