filePath,sampleClass,sampleName
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_ACID_SZMET00201.d""",NO_SUPP,SZMET00201
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_ACID_SZMET00202.d""",NO_SUPP,SZMET00202
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_ACID_SZMET00203.d""",NO_SUPP,SZMET00203
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_ACID_SZMET00204.d""",NO_SUPP,SZMET00204
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_ACID_SZMET00205.d""",NO_SUPP,SZMET00205
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_ACID_SZMET00206.d""",NO_SUPP,SZMET00206
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_WT_ARGININE_ACID/20150218_ACID_SZMET00207.d""",ARG,SZMET00207
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_WT_ARGININE_ACID/20150218_ACID_SZMET00208.d""",ARG,SZMET00208
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_WT_ARGININE_ACID/20150218_ACID_SZMET00209.d""",ARG,SZMET00209
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_WT_ARGININE_ACID/20150218_ACID_SZMET00210.d""",ARG,SZMET00210
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_WT_ARGININE_ACID/20150218_ACID_SZMET00211.d""",ARG,SZMET00211
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_WT_ARGININE_ACID/20150218_ACID_SZMET00212.d""",ARG,SZMET00212
