filePath,sampleClass,sampleName
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_ACID_SZMET00257.d""",NO_SUPP,SZMET00257
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_ACID_SZMET00258.d""",NO_SUPP,SZMET00258
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_ACID_SZMET00259.d""",NO_SUPP,SZMET00259
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_ACID_SZMET00260.d""",NO_SUPP,SZMET00260
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_ACID_SZMET00261.d""",NO_SUPP,SZMET00261
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_ACID_SZMET00262.d""",NO_SUPP,SZMET00262
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_WT_HISTIDINE_ACID/20150224_ACID_SZMET00275.d""",HIS,SZMET00275
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_WT_HISTIDINE_ACID/20150224_ACID_SZMET00276.d""",HIS,SZMET00276
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_WT_HISTIDINE_ACID/20150224_ACID_SZMET00277.d""",HIS,SZMET00277
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_WT_HISTIDINE_ACID/20150224_ACID_SZMET00278.d""",HIS,SZMET00278
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_WT_HISTIDINE_ACID/20150224_ACID_SZMET00279.d""",HIS,SZMET00279
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_WT_HISTIDINE_ACID/20150224_ACID_SZMET00280.d""",HIS,SZMET00280
