filePath,sampleClass,sampleName
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_ACID_SZMET00225.d""",NO_SUPP,SZMET00225
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_ACID_SZMET00226.d""",NO_SUPP,SZMET00226
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_ACID_SZMET00227.d""",NO_SUPP,SZMET00227
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_ACID_SZMET00228.d""",NO_SUPP,SZMET00228
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_ACID_SZMET00229.d""",NO_SUPP,SZMET00229
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_ACID_SZMET00230.d""",NO_SUPP,SZMET00230
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_WT_LEUCINE_ACID/20150218_ACID_SZMET00237.d""",LEU,SZMET00237
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_WT_LEUCINE_ACID/20150218_ACID_SZMET00238.d""",LEU,SZMET00238
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_WT_LEUCINE_ACID/20150218_ACID_SZMET00239.d""",LEU,SZMET00239
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_WT_LEUCINE_ACID/20150218_ACID_SZMET00240.d""",LEU,SZMET00240
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_WT_LEUCINE_ACID/20150218_ACID_SZMET00241.d""",LEU,SZMET00241
"""Y:/MS_DATA/szlitni/20150218_Soumaya_WT_SUPP_1_2_ACID/20150218_WT_LEUCINE_ACID/20150218_ACID_SZMET00242.d""",LEU,SZMET00242
