filePath,sampleClass,sampleName
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_ACID_SZMET00257.d""",NO_SUPP,SZMET00257
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_ACID_SZMET00258.d""",NO_SUPP,SZMET00258
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_ACID_SZMET00259.d""",NO_SUPP,SZMET00259
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_ACID_SZMET00260.d""",NO_SUPP,SZMET00260
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_ACID_SZMET00261.d""",NO_SUPP,SZMET00261
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_ACID_SZMET00262.d""",NO_SUPP,SZMET00262
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_WT_LYSINE_ACID/20150224_ACID_SZMET00269.d""",LYS,SZMET00269
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_WT_LYSINE_ACID/20150224_ACID_SZMET00270.d""",LYS,SZMET00270
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_WT_LYSINE_ACID/20150224_ACID_SZMET00271.d""",LYS,SZMET00271
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_WT_LYSINE_ACID/20150224_ACID_SZMET00272.d""",LYS,SZMET00272
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_WT_LYSINE_ACID/20150224_ACID_SZMET00273.d""",LYS,SZMET00273
"""Y:/MS_DATA/szlitni/20150224_Soumaya_WT_SUPP_3_LYS_ARG_ACID/20150224_WT_LYSINE_ACID/20150224_ACID_SZMET00274.d""",LYS,SZMET00274
