filePath,sampleClass,sampleName
"""Y:/MS_DATA/szlitni/20150424_Soumaya_WT_SUPP_5_LYS_DOSAGE_ACID/20150425_ACID_SZMET00314.d""",NO_SUPP,SZMET00314
"""Y:/MS_DATA/szlitni/20150424_Soumaya_WT_SUPP_5_LYS_DOSAGE_ACID/20150425_ACID_SZMET00315.d""",NO_SUPP,SZMET00315
"""Y:/MS_DATA/szlitni/20150424_Soumaya_WT_SUPP_5_LYS_DOSAGE_ACID/20150425_ACID_SZMET00316.d""",NO_SUPP,SZMET00316
"""Y:/MS_DATA/szlitni/20150424_Soumaya_WT_SUPP_5_LYS_DOSAGE_ACID/20150425_ACID_SZMET00317.d""",NO_SUPP,SZMET00317
"""Y:/MS_DATA/szlitni/20150424_Soumaya_WT_SUPP_5_LYS_DOSAGE_ACID/20150425_ACID_SZMET00318.d""",NO_SUPP,SZMET00318
"""Y:/MS_DATA/szlitni/20150424_Soumaya_WT_SUPP_5_LYS_DOSAGE_ACID/20150425_ACID_SZMET00319.d""",NO_SUPP,SZMET00319
"""Y:/MS_DATA/szlitni/20150424_Soumaya_WT_SUPP_5_LYS_DOSAGE_ACID/20150425_WT_URACIL/20150425_ACID_SZMET00320.d""",URA,SZMET00320
"""Y:/MS_DATA/szlitni/20150424_Soumaya_WT_SUPP_5_LYS_DOSAGE_ACID/20150425_WT_URACIL/20150425_ACID_SZMET00321.d""",URA,SZMET00321
"""Y:/MS_DATA/szlitni/20150424_Soumaya_WT_SUPP_5_LYS_DOSAGE_ACID/20150425_WT_URACIL/20150425_ACID_SZMET00322.d""",URA,SZMET00322
"""Y:/MS_DATA/szlitni/20150424_Soumaya_WT_SUPP_5_LYS_DOSAGE_ACID/20150425_WT_URACIL/20150425_ACID_SZMET00323.d""",URA,SZMET00323
"""Y:/MS_DATA/szlitni/20150424_Soumaya_WT_SUPP_5_LYS_DOSAGE_ACID/20150425_WT_URACIL/20150425_ACID_SZMET00324.d""",URA,SZMET00324
"""Y:/MS_DATA/szlitni/20150424_Soumaya_WT_SUPP_5_LYS_DOSAGE_ACID/20150425_WT_URACIL/20150425_ACID_SZMET00325.d""",URA,SZMET00325
