filePath,sampleClass,sampleName
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/RCY255_URA3/20141006_SZMET00101.d""",ura3_URA,SZMET00101
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/RCY255_URA3/20141006_SZMET00102.d""",ura3_URA,SZMET00102
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/RCY255_URA3/20141006_SZMET00103.d""",ura3_URA,SZMET00103
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/RCY255_URA3/20141006_SZMET00125.d""",ura3_YPD,SZMET00125
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/RCY255_URA3/20141006_SZMET00126.d""",ura3_YPD,SZMET00126
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/RCY255_URA3/20141006_SZMET00127.d""",ura3_YPD,SZMET00127
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/RCY256_LYS2/20141107_SZMET00104.d""",lys2_LYS,SZMET00104
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/RCY256_LYS2/20141107_SZMET00105.d""",lys2_LYS,SZMET00105
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/RCY256_LYS2/20141107_SZMET00106.d""",lys2_LYS,SZMET00106
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/RCY538_LEU2/20141107_SZMET00107.d""",leu2_LEU,SZMET00107
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/RCY538_LEU2/20141107_SZMET00108.d""",leu2_LEU,SZMET00108
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/RCY538_LEU2/20141107_SZMET00109.d""",leu2_LEU,SZMET00109
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/RCY1441_TRP1_URA3/20141107_SZMET00113.d""",trp1ura3_TRPURA,SZMET00113
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/RCY1441_TRP1_URA3/20141107_SZMET00114.d""",trp1ura3_TRPURA,SZMET00114
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/RCY1441_TRP1_URA3/20141107_SZMET00115.d""",trp1ura3_TRPURA,SZMET00115
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/YDR007W_TRP1/20141006_SZMET00116.d""",trp1_TRP,SZMET00116
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/YDR007W_TRP1/20141006_SZMET00117.d""",trp1_TRP,SZMET00117
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/YDR007W_TRP1/20141006_SZMET00118.d""",trp1_TRP,SZMET00118
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/YDR007W_TRP1/20141006_SZMET00140.d""",trp1_YPD,SZMET00140
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/YDR007W_TRP1/20141006_SZMET00141.d""",trp1_YPD,SZMET00141
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/YDR007W_TRP1/20141006_SZMET00142.d""",trp1_YPD,SZMET00142
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/YDR007W_TRP1/20141006_SZMET00122a.d""",WT_YPD,SZMET00122
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/YDR007W_TRP1/20141006_SZMET00123a.d""",WT_YPD,SZMET00123
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/YDR007W_TRP1/20141006_SZMET00124a.d""",WT_YPD,SZMET00124
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/YDR007W_TRP1/20141006_SZMET00146a.d""",WT_YPD,SZMET00146
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/YDR007W_TRP1/20141006_SZMET00147a.d""",WT_YPD,SZMET00147
"""Y:/MS_DATA/szlitni/szlitni_backup/IPRP/AUX_PLATE_3_I_targeted/YDR007W_TRP1/20141006_SZMET00148a.d""",WT_YPD,SZMET00148
