filePath,sampleClass,sampleName
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_SZMET00201.d""",NO_SUPP_ARG,SZMET00201
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_SZMET00202.d""",NO_SUPP_ARG,SZMET00202
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_SZMET00203.d""",NO_SUPP_ARG,SZMET00203
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_SZMET00204.d""",NO_SUPP_ARG,SZMET00204
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_SZMET00205.d""",NO_SUPP_ARG,SZMET00205
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_SZMET00206.d""",NO_SUPP_ARG,SZMET00206
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_WT_ARGININE/20150217_SZMET00207.d""",ARG,SZMET00207
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_WT_ARGININE/20150217_SZMET00208.d""",ARG,SZMET00208
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_WT_ARGININE/20150217_SZMET00209.d""",ARG,SZMET00209
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_WT_ARGININE/20150217_SZMET00210.d""",ARG,SZMET00210
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_WT_ARGININE/20150217_SZMET00211.d""",ARG,SZMET00211
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_WT_ARGININE/20150217_SZMET00212.d""",ARG,SZMET00212
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_SZMET00225.d""",NO_SUPP_LEU,SZMET00225
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_SZMET00226.d""",NO_SUPP_LEU,SZMET00226
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_SZMET00227.d""",NO_SUPP_LEU,SZMET00227
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_SZMET00228.d""",NO_SUPP_LEU,SZMET00228
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_SZMET00229.d""",NO_SUPP_LEU,SZMET00229
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_SZMET00230.d""",NO_SUPP_LEU,SZMET00230
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_WT_LEUCINE/20150217_SZMET00237.d""",LEU,SZMET00237
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_WT_LEUCINE/20150217_SZMET00238.d""",LEU,SZMET00238
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_WT_LEUCINE/20150217_SZMET00239.d""",LEU,SZMET00239
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_WT_LEUCINE/20150217_SZMET00240.d""",LEU,SZMET00240
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_WT_LEUCINE/20150217_SZMET00241.d""",LEU,SZMET00241
"""Y:/MS_DATA/szlitni/20150217_Soumaya_WT_SUPP_1_2_IPRP/20150217_WT_LEUCINE/20150217_SZMET00242.d""",LEU,SZMET00242
