filePath,sampleClass,sampleName
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_SZMET00257.d""",NO_SUPP,SZMET00257
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_SZMET00258.d""",NO_SUPP,SZMET00258
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_SZMET00259.d""",NO_SUPP,SZMET00259
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_SZMET00260.d""",NO_SUPP,SZMET00260
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_SZMET00261.d""",NO_SUPP,SZMET00261
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_SZMET00262.d""",NO_SUPP,SZMET00262
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_WT_HISTIDINE/20150223_SZMET00275.d""",HIS,SZMET00275
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_WT_HISTIDINE/20150223_SZMET00276.d""",HIS,SZMET00276
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_WT_HISTIDINE/20150223_SZMET00277.d""",HIS,SZMET00277
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_WT_HISTIDINE/20150223_SZMET00278.d""",HIS,SZMET00278
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_WT_HISTIDINE/20150223_SZMET00279.d""",HIS,SZMET00279
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_WT_HISTIDINE/20150223_SZMET00280.d""",HIS,SZMET00280
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_WT_LYSINE/20150223_SZMET00269.d""",LYS,SZMET00269
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_WT_LYSINE/20150223_SZMET00270.d""",LYS,SZMET00270
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_WT_LYSINE/20150223_SZMET00271.d""",LYS,SZMET00271
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_WT_LYSINE/20150223_SZMET00272.d""",LYS,SZMET00272
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_WT_LYSINE/20150223_SZMET00273.d""",LYS,SZMET00273
"""Y:/MS_DATA/szlitni/20150223_Soumaya_WT_SUPP_3_LYS_ARG_IPRP/20150223_WT_LYSINE/20150223_SZMET00274.d""",LYS,SZMET00274
