filePath,sampleClass,sampleName
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET001.d""",WT_RCY308,PTMET001
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET002.d""",WT_RCY308,PTMET002
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET003.d""",WT_RCY308,PTMET003
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET004.d""",WT_RCY308,PTMET004
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET005.d""",WT_RCY308,PTMET005
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET006.d""",WT_RCY308,PTMET006
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET007.d""",LYS2_RCY256,PTMET007
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET008.d""",LYS2_RCY256,PTMET008
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET009.d""",LYS2_RCY256,PTMET009
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET010.d""",LYS2_RCY256,PTMET010
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET011.d""",LYS2_RCY256,PTMET011
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET012.d""",LYS2_RCY256,PTMET012
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET013.d""",LYS2_Deletion,PTMET013
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET014.d""",LYS2_Deletion,PTMET014
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET015.d""",LYS2_Deletion,PTMET015
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET016.d""",LYS2_Deletion,PTMET016
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET017.d""",LYS2_Deletion,PTMET017
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET018.d""",LYS2_Deletion,PTMET018
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET019.d""",HO_Control,PTMET019
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET020.d""",HO_Control,PTMET020
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET021.d""",HO_Control,PTMET021
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET022.d""",HO_Control,PTMET022
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET023.d""",HO_Control,PTMET023
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET024.d""",HO_Control,PTMET024
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET025.d""",LYS1_Deletion,PTMET025
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET026.d""",LYS1_Deletion,PTMET026
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET027.d""",LYS1_Deletion,PTMET027
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET028b.d""",LYS1_Deletion,PTMET028b
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET029.d""",LYS1_Deletion,PTMET029
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET030.d""",LYS1_Deletion,PTMET030
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET031.d""",LYS4_Deletion,PTMET031
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET032.d""",LYS4_Deletion,PTMET032
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET033.d""",LYS4_Deletion,PTMET033
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET034.d""",LYS4_Deletion,PTMET034
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET035.d""",LYS4_Deletion,PTMET035
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET036.d""",LYS4_Deletion,PTMET036
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET037.d""",LYS9_Deletion,PTMET037
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET038.d""",LYS9_Deletion,PTMET038
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET039.d""",LYS9_Deletion,PTMET039
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET040.d""",LYS9_Deletion,PTMET040
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET041.d""",LYS9_Deletion,PTMET041
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET042.d""",LYS9_Deletion,PTMET042
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET043.d""",LYS12_Deletion,PTMET043
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET044.d""",LYS12_Deletion,PTMET044
"""V:/Massspecdata04/qtof02/20180225_Soumaya_LYS_Pathway_IPRP/20180225_PTMET045.d""",LYS12_Deletion,PTMET045
