sampleName,strainName,condition,experiment,rep,Raw Abs,Correct. OD,Date extracted
SZMET00201,RCY308,YNB,ARG.MET.CYS,R1,0.14,0.467,15-11-02
SZMET00202,RCY308,YNB,ARG.MET.CYS,R2,0.136,0.451,15-11-02
SZMET00203,RCY308,YNB,ARG.MET.CYS,R3,0.136,0.45,15-11-02
SZMET00204,RCY308,YNB,ARG.MET.CYS,R4,0.132,0.432,15-11-02
SZMET00205,RCY308,YNB,ARG.MET.CYS,R5,0.132,0.431,15-11-02
SZMET00206,RCY308,YNB,ARG.MET.CYS,R6,0.138,0.46,15-11-02
SZMET00207,RCY308,ARG,ARG,R1,0.127,0.408,15-11-02
SZMET00208,RCY308,ARG,ARG,R2,0.122,0.387,15-11-02
SZMET00209,RCY308,ARG,ARG,R3,0.124,0.394,15-11-02
SZMET00210,RCY308,ARG,ARG,R4,0.122,0.387,15-11-02
SZMET00211,RCY308,ARG,ARG,R5,0.121,0.382,15-11-02
SZMET00212,RCY308,ARG,ARG,R6,0.13,0.424,15-11-02
SZMET00213,RCY308,MET,MET,R1,0.126,0.406,15-11-02
SZMET00214,RCY308,MET,MET,R2,0.133,0.438,15-11-02
SZMET00215,RCY308,MET,MET,R3,0.131,0.426,15-11-02
SZMET00216,RCY308,MET,MET,R4,0.129,0.419,15-11-02
SZMET00217,RCY308,MET,MET,R5,0.135,0.447,15-11-02
SZMET00218,RCY308,MET,MET,R6,0.127,0.409,15-11-02
SZMET00219,RCY308,CYS,CYS,R1,0.12,0.379,15-11-02
SZMET00220,RCY308,CYS,CYS,R2,0.123,0.392,15-11-02
SZMET00221,RCY308,CYS,CYS,R3,0.111,0.338,15-11-02
SZMET00222,RCY308,CYS,CYS,R4,0.111,0.338,15-11-02
SZMET00223,RCY308,CYS,CYS,R5,0.107,0.32,15-11-02
SZMET00224,RCY308,CYS,CYS,R6,0.11,0.331,15-11-02
SZMET00225,RCY308,YNB,THR.LEU.ILE,R1,0.142,0.478,15-11-02
SZMET00226,RCY308,YNB,THR.LEU.ILE,R2,0.145,0.491,15-11-02
SZMET00227,RCY308,YNB,THR.LEU.ILE,R3,0.142,0.476,15-11-02
SZMET00228,RCY308,YNB,THR.LEU.ILE,R4,0.137,0.455,15-11-02
SZMET00229,RCY308,YNB,THR.LEU.ILE,R5,0.157,0.545,15-11-02
SZMET00230,RCY308,YNB,THR.LEU.ILE,R6,0.17,0.602,15-11-02
SZMET00231,RCY308,THR,THR,R1,0.146,0.494,15-11-02
SZMET00232,RCY308,THR,THR,R2,0.146,0.492,15-11-02
SZMET00233,RCY308,THR,THR,R3,0.114,0.351,15-11-02
SZMET00234,RCY308,THR,THR,R4,0.118,0.37,15-11-02
SZMET00235,RCY308,THR,THR,R5,0.148,0.504,15-11-02
SZMET00236,RCY308,THR,THR,R6,0.15,0.513,15-11-02
SZMET00237,RCY308,LEU,LEU,R1,0.159,0.553,15-11-02
SZMET00238,RCY308,LEU,LEU,R2,0.144,0.485,15-11-02
SZMET00239,RCY308,LEU,LEU,R3,0.122,0.385,15-11-02
SZMET00240,RCY308,LEU,LEU,R4,0.125,0.4,15-11-02
SZMET00241,RCY308,LEU,LEU,R5,0.156,0.541,15-11-02
SZMET00242,RCY308,LEU,LEU,R6,0.142,0.476,15-11-02
SZMET00243,RCY308,ILE,ILE,R1,0.129,0.418,15-11-02
SZMET00244,RCY308,ILE,ILE,R2,0.124,0.395,15-11-02
SZMET00245,RCY308,ILE,ILE,R3,0.129,0.418,15-11-02
SZMET00246,RCY308,ILE,ILE,R4,0.118,0.368,15-11-02
SZMET00247,RCY308,ILE,ILE,R5,0.139,0.463,15-11-02
SZMET00248,RCY308,ILE,ILE,R6,0.141,0.473,15-11-02
SZMET00249,CTRL,Filter,ARG.MET.CYS.THR.LEU.ILE,Filter,0,0,15-11-02
SZMET00250,CTRL,YNB,ARG.MET.CYS.THR.LEU.ILE,YNB,0,0,15-11-02
SZMET00251,CTRL,ARG,ARG,ARG,0,0,15-11-02
SZMET00252,CTRL,MET,MET,MET,0,0,15-11-02
SZMET00253,CTRL,CYS,CYS,CYS,0,0,15-11-02
SZMET00254,CTRL,THR,THR,THR,0,0,15-11-02
SZMET00255,CTRL,LEU,LEU,LEU,0,0,15-11-02
SZMET00256,CTRL,ILE,ILE,ILE,0,0,15-11-02
SZMET00257,RCY308,YNB,ADE.LYS.HIS,R1,0.147,0.499,02/19/2015
SZMET00258,RCY308,YNB,ADE.LYS.HIS,R2,0.16,0.557,02/19/2015
SZMET00259,RCY308,YNB,ADE.LYS.HIS,R3,0.188,0.684,02/19/2015
SZMET00260,RCY308,YNB,ADE.LYS.HIS,R4,0.144,0.484,02/19/2015
