sampleName,strainName,condition,experiment,rep,Raw Abs,Correct. OD,Date extracted
SZMET00201,RCY308,YNB,ARG.MET.CYS,R1,0.14,0.467,20150217
SZMET00202,RCY308,YNB,ARG.MET.CYS,R2,0.136,0.451,20150217
SZMET00203,RCY308,YNB,ARG.MET.CYS,R3,0.136,0.45,20150217
SZMET00204,RCY308,YNB,ARG.MET.CYS,R4,0.132,0.432,20150217
SZMET00205,RCY308,YNB,ARG.MET.CYS,R5,0.132,0.431,20150217
SZMET00206,RCY308,YNB,ARG.MET.CYS,R6,0.138,0.46,20150217
SZMET00207,RCY308,ARG,ARG,R1,0.127,0.408,20150217
SZMET00208,RCY308,ARG,ARG,R2,0.122,0.387,20150217
SZMET00209,RCY308,ARG,ARG,R3,0.124,0.394,20150217
SZMET00210,RCY308,ARG,ARG,R4,0.122,0.387,20150217
SZMET00211,RCY308,ARG,ARG,R5,0.121,0.382,20150217
SZMET00212,RCY308,ARG,ARG,R6,0.13,0.424,20150217
SZMET00225,RCY308,YNB,THR.LEU.ILE,R1,0.142,0.478,20150217
SZMET00226,RCY308,YNB,THR.LEU.ILE,R2,0.145,0.491,20150217
SZMET00227,RCY308,YNB,THR.LEU.ILE,R3,0.142,0.476,20150217
SZMET00228,RCY308,YNB,THR.LEU.ILE,R4,0.137,0.455,20150217
SZMET00229,RCY308,YNB,THR.LEU.ILE,R5,0.157,0.545,20150217
SZMET00230,RCY308,YNB,THR.LEU.ILE,R6,0.17,0.602,20150217
SZMET00237,RCY308,LEU,LEU,R1,0.159,0.553,20150217
SZMET00238,RCY308,LEU,LEU,R2,0.144,0.485,20150217
SZMET00239,RCY308,LEU,LEU,R3,0.122,0.385,20150217
SZMET00240,RCY308,LEU,LEU,R4,0.125,0.4,20150217
SZMET00241,RCY308,LEU,LEU,R5,0.156,0.541,20150217
SZMET00242,RCY308,LEU,LEU,R6,0.142,0.476,20150217
SZMET00257,RCY308,YNB,ADE.LYS.HIS,R1,0.147,0.499,20150223
SZMET00258,RCY308,YNB,ADE.LYS.HIS,R2,0.16,0.557,20150223
SZMET00259,RCY308,YNB,ADE.LYS.HIS,R3,0.188,0.684,20150223
SZMET00260,RCY308,YNB,ADE.LYS.HIS,R4,0.144,0.484,20150223
SZMET00261,RCY308,YNB,ADE.LYS.HIS,R5,0.152,0.519,20150223
SZMET00262,RCY308,YNB,ADE.LYS.HIS,R6,0.21,0.779,20150223
SZMET00269,RCY308,LYS,LYS,R1,0.188,0.682,20150223
SZMET00270,RCY308,LYS,LYS,R2,0.157,0.544,20150223
SZMET00271,RCY308,LYS,LYS,R3,0.134,0.44,20150223
SZMET00272,RCY308,LYS,LYS,R4,0.2,0.735,20150223
SZMET00273,RCY308,LYS,LYS,R5,0.195,0.714,20150223
SZMET00274,RCY308,LYS,LYS,R6,0.192,0.699,20150223
SZMET00275,RCY308,HIS,HIS,R1,0.132,0.432,20150223
SZMET00276,RCY308,HIS,HIS,R2,0.154,0.528,20150223
SZMET00277,RCY308,HIS,HIS,R3,0.187,0.678,20150223
SZMET00278,RCY308,HIS,HIS,R4,0.211,0.785,20150223
SZMET00279,RCY308,HIS,HIS,R5,0.234,0.888,20150223
SZMET00280,RCY308,HIS,HIS,R6,0.215,0.804,20150223
SZMET00314,RCY308,YNB,URA.TRP1.W-U,R1,0.145,0.489,20150424
SZMET00315,RCY308,YNB,URA.TRP1.W-U,R2,0.11,0.334,20150424
SZMET00316,RCY308,YNB,URA.TRP1.W-U,R3,0.132,0.433,20150424
SZMET00317,RCY308,YNB,URA.TRP1.W-U,R4,0.123753263,0.39459831,20150424
SZMET00318,RCY308,YNB,URA.TRP1.W-U,R5,0.148957769,0.50742063,20150424
SZMET00319,RCY308,YNB,URA.TRP1.W-U,R6,0.127452813,0.41115852,20150424
SZMET00320,RCY308,URA,URA,R1,0.138781586,0.46186923,20150424
SZMET00321,RCY308,URA,URA,R2,0.153830338,0.529231593,20150424
SZMET00322,RCY308,URA,URA,R3,0.144016059,0.485300176,20150424
SZMET00323,RCY308,URA,URA,R4,0.114416155,0.352802841,20150424
SZMET00324,RCY308,URA,URA,R5,0.141219211,0.472780712,20150424
SZMET00325,RCY308,URA,URA,R6,0.155102701,0.534927042,20150424
