sampleName,strainName,condition,experiment,rep,Raw Abs,Correct. OD,Date extracted
SZMET0512,arg4_1D,ARG,ARG,R1,NA,NA,NA
SZMET0513,arg4_1D,ARG,ARG,R2,NA,NA,NA
SZMET0514,arg4_1D,ARG,ARG,R3,NA,NA,NA
SZMET0515,arg4_2A,ARG,ARG,R1,NA,NA,NA
SZMET0516,arg4_2A,ARG,ARG,R2,NA,NA,NA
SZMET0517,arg4_2A,ARG,ARG,R3,NA,NA,NA
SZMET0518,arg4_2B,ARG,ARG,R1,NA,NA,NA
SZMET0519,arg4_2B,ARG,ARG,R2,NA,NA,NA
SZMET0520,arg4_2B,ARG,ARG,R3,NA,NA,NA
SZMET0521,arg4_3A,ARG,ARG,R1,NA,NA,NA
SZMET0522,arg4_3A,ARG,ARG,R2,NA,NA,NA
SZMET0523,arg4_3A,ARG,ARG,R3,NA,NA,NA
SZMET0524,RCY308,YNB,ARG,R1,NA,NA,NA
SZMET0525,RCY308,YNB,ARG,R2,NA,NA,NA
SZMET0526,RCY308,YNB,ARG,R3,NA,NA,NA
SZMET0527,RCY308,YNB,ARG,R4,NA,NA,NA
SZMET0528,RCY308,YNB,ARG,R5,NA,NA,NA
SZMET0529,RCY308,YNB,ARG,R6,NA,NA,NA
SZMET0530,RCY308,YNB,ARG,R7,NA,NA,NA
SZMET0531,RCY308,YNB,ARG,R8,NA,NA,NA
SZMET0532,RCY308,YNB,ARG,R9,NA,NA,NA
SZMET0533,RCY308,YNB,ARG,R10,NA,NA,NA
SZMET0534,RCY308,YNB,ARG,R11,NA,NA,NA
SZMET0535,RCY308,YNB,ARG,R12,NA,NA,NA
SZMET0548,CTRL,Filter,ARG,Filter,NA,NA,NA
SZMET0549,CTRL,YNB,ARG,YNB,NA,NA,NA
SZMET0550,CTRL,ARG,ARG,ARG,NA,NA,NA
SZMET00101,RCY255_ura3,URA,URA,R1,0.144,0.486,14-09-24
SZMET00102,RCY255_ura3,URA,URA,R2,0.191,0.693,14-09-24
SZMET00103,RCY255_ura3,URA,URA,R3,0.205,0.757,14-09-24
SZMET00104,RCY256_lys2,LYS,LYS,R1,0.167,0.586,14-09-24
SZMET00105,RCY256_lys2,LYS,LYS,R2,0.206,0.764,14-09-24
SZMET00106,RCY256_lys2,LYS,LYS,R3,0.211,0.786,14-09-24
SZMET00107,RCY538_leu2,LEU,LEU,R1,0.169,0.596,14-09-24
SZMET00108,RCY538_leu2,LEU,LEU,R2,0.194,0.707,14-09-24
SZMET00109,RCY538_leu2,LEU,LEU,R3,0.195,0.715,14-09-24
SZMET00113,RCY1441_trp1_ura3 ,W-U,W-U,R1,0.193,0.706,14-09-24
SZMET00114,RCY1441_trp1_ura3 ,W-U,W-U,R2,0.291,1.144,14-09-24
SZMET00115,RCY1441_trp1_ura3 ,W-U,W-U,R3,0.363,1.466,14-09-24
SZMET00116,YDR007W_trp1,TRP1,TRP1,R1,0.235,0.894,14-09-24
SZMET00117,YDR007W_trp1,TRP1,TRP1,R2,0.226,0.854,14-09-24
SZMET00118,YDR007W_trp1,TRP1,TRP1,R3,0.191,0.693,14-09-24
SZMET00122,RCY308,YNB,URA.LYS.LEU.W-U.TRP1,R1,0.217,0.811,14-09-24
SZMET00123,RCY308,YNB,URA.LYS.LEU.W-U.TRP1,R2,0.211,0.784,14-09-24
SZMET00124,RCY308,YNB,URA.LYS.LEU.W-U.TRP1,R3,0.215,0.804,14-09-24
SZMET00125,RCY255_ura3,YNB,URA,R1,0.064,0.126,14-09-24
SZMET00126,RCY255_ura3,YNB,URA,R2,0.07,0.154,14-09-24
SZMET00127,RCY255_ura3,YNB,URA,R3,0.067,0.142,14-09-24
SZMET00140,YDR007W_trp1,YNB,TRP1,R1,0.221,0.829,14-09-24
SZMET00141,YDR007W_trp1,YNB,TRP1,R2,0.216,0.809,14-09-24
SZMET00142,YDR007W_trp1,YNB,TRP1,R3,0.182,0.655,14-09-24
SZMET00146,RCY308,YNB,URA.LYS.LEU.W-U.TRP1,R1,0.209,0.776,14-09-24
SZMET00147,RCY308,YNB,URA.LYS.LEU.W-U.TRP1,R2,0.191,0.694,14-09-24
SZMET00148,RCY308,YNB,URA.LYS.LEU.W-U.TRP1,R3,0.194,0.71,14-09-24
SZMET00149,CTRL,Filter,URA.LYS.LEU.W-U.TRP1,Filter,0,0,14-09-24
SZMET00150,CTRL,YNB,URA.LYS.LEU.W-U.TRP1,YNB,0,0,14-09-24
SZMET00151,RCY1714_his3,HIS,HIS,R1,0.108,0.325,14-10-01
SZMET00152,RCY1714_his3,HIS,HIS,R2,0.102,0.299,14-10-01
SZMET00153,RCY1714_his3,HIS,HIS,R3,0.107,0.32,14-10-01
SZMET00172,RCY308,YNB,HIS,R1,0.129,0.418,14-10-01
SZMET00173,RCY308,YNB,HIS,R2,0.133,0.435,14-10-01
SZMET00174,RCY308,YNB,HIS,R3,0.13,0.423,14-10-01
SZMET00196,RCY308,YNB,HIS,R4,0.123,0.389,14-10-01
SZMET00197,RCY308,YNB,HIS,R5,0.124,0.397,14-10-01
SZMET00198,RCY308,YNB,HIS,R6,0.139,0.462,14-10-01
SZMET00199,CTRL,Filter,HIS,Filter,0,0,14-10-01
SZMET00200,CTRL,YNB,HIS,YNB,0,0,14-10-01
